Date,Product Name,Units Sold,Unit Price
1/1/2025,Windmill Cube,479,12
1/2/2025,Ghost Cube,410,22
1/3/2025,5x5 Professional,68,22
1/4/2025,Mirror Cube,224,12
1/5/2025,Skewb,362,12
1/6/2025,Skewb,198,11
1/7/2025,Windmill Cube,414,13
1/8/2025,Skewb,367,13
1/9/2025,Axis Cube,490,17
1/10/2025,Fisher Cube,492,14
1/11/2025,5x5 Professional,412,20
1/12/2025,Mirror Cube,246,10
1/13/2025,3x3 Classic,105,10
1/14/2025,Windmill Cube,215,12
1/15/2025,Axis Cube,126,15
1/16/2025,4x4 Master,396,15
1/17/2025,5x5 Professional,396,20
1/18/2025,Megaminx,166,19
1/19/2025,2x2 Mini Cube,135,9
1/20/2025,5x5 Professional,484,22
1/21/2025,5x5 Professional,214,19
1/22/2025,Pyraminx,358,7
1/23/2025,Mirror Cube,195,12
1/24/2025,5x5 Professional,110,18
1/25/2025,Pyraminx,183,7
1/26/2025,Pyraminx,474,6
1/27/2025,4x4 Master,311,14
1/28/2025,Axis Cube,124,14
1/29/2025,2x2 Mini Cube,203,7
1/30/2025,Windmill Cube,418,12
2/1/2025,Megaminx,307,16
2/2/2025,4x4 Master,503,14
2/3/2025,Skewb,501,11
2/4/2025,3x3 Classic,177,12
2/5/2025,4x4 Master,115,13
2/6/2025,2x2 Mini Cube,502,9
2/7/2025,5x5 Professional,163,18
2/8/2025,5x5 Professional,112,21
2/9/2025,Skewb,218,12
2/10/2025,Mirror Cube,436,10
2/11/2025,Pyraminx,475,8
2/12/2025,Ghost Cube,339,23
2/13/2025,Megaminx,327,20
2/14/2025,Fisher Cube,165,15
2/15/2025,4x4 Master,368,15
2/16/2025,5x5 Professional,203,22
2/17/2025,Axis Cube,494,14
2/18/2025,Pyraminx,362,8
2/19/2025,3x3 Classic,396,8
2/20/2025,Megaminx,131,18
2/21/2025,Ghost Cube,149,23
2/22/2025,4x4 Master,85,15
2/23/2025,5x5 Professional,513,19
2/24/2025,Fisher Cube,479,12
2/25/2025,4x4 Master,139,16
2/26/2025,3x3 Classic,183,8
2/27/2025,Axis Cube,252,16
2/28/2025,Pyraminx,100,6
2/29/2025,2x2 Mini Cube,383,7
2/30/2025,Fisher Cube,454,13
3/1/2025,4x4 Master,70,13
3/2/2025,Fisher Cube,282,16
3/3/2025,Ghost Cube,178,26
3/4/2025,2x2 Mini Cube,56,8
3/5/2025,3x3 Classic,63,11
3/6/2025,5x5 Professional,382,18
3/7/2025,3x3 Classic,225,10
3/8/2025,Mirror Cube,75,11
3/9/2025,3x3 Classic,268,10
3/10/2025,Axis Cube,311,18
3/11/2025,Ghost Cube,256,26
3/12/2025,Ghost Cube,388,22
3/13/2025,2x2 Mini Cube,433,9
3/14/2025,Skewb,318,13
3/15/2025,Axis Cube,498,16
3/16/2025,Windmill Cube,303,13
3/17/2025,2x2 Mini Cube,377,6
3/18/2025,5x5 Professional,289,19
3/19/2025,Axis Cube,195,17
3/20/2025,Skewb,112,12
3/21/2025,Mirror Cube,338,13
3/22/2025,Megaminx,215,16
3/23/2025,2x2 Mini Cube,75,9
3/24/2025,2x2 Mini Cube,77,6
3/25/2025,Pyraminx,384,8
3/26/2025,Axis Cube,298,15
3/27/2025,Pyraminx,357,6
3/28/2025,Fisher Cube,165,15
3/29/2025,Skewb,384,9
3/30/2025,4x4 Master,396,15
4/1/2025,Mirror Cube,453,13
4/2/2025,Windmill Cube,305,13
4/3/2025,Skewb,158,11
4/4/2025,Windmill Cube,346,12
4/5/2025,3x3 Classic,89,11
4/6/2025,Ghost Cube,192,24
4/7/2025,5x5 Professional,419,18
4/8/2025,Ghost Cube,271,22
4/9/2025,Axis Cube,202,17
4/10/2025,Axis Cube,488,16
4/11/2025,Ghost Cube,433,25
4/12/2025,Windmill Cube,516,15
4/13/2025,Pyraminx,218,6
4/14/2025,Megaminx,467,20
4/15/2025,Axis Cube,435,16
4/16/2025,Axis Cube,433,16
4/17/2025,Axis Cube,153,17
4/18/2025,5x5 Professional,69,20
4/19/2025,Windmill Cube,230,12
4/20/2025,Skewb,415,12
4/21/2025,Windmill Cube,246,12
4/22/2025,Pyraminx,307,6
4/23/2025,Axis Cube,117,16
4/24/2025,4x4 Master,227,15
4/25/2025,Pyraminx,170,7
4/26/2025,Mirror Cube,159,12
4/27/2025,Mirror Cube,446,14
4/28/2025,Megaminx,452,20
4/29/2025,2x2 Mini Cube,80,6
4/30/2025,4x4 Master,454,14
5/1/2025,Pyraminx,351,10
5/2/2025,Pyraminx,317,7
5/3/2025,3x3 Classic,158,10
5/4/2025,3x3 Classic,233,12
5/5/2025,2x2 Mini Cube,381,7
5/6/2025,Fisher Cube,182,16
5/7/2025,Windmill Cube,100,11
5/8/2025,Pyraminx,223,6
5/9/2025,3x3 Classic,268,11
5/10/2025,Mirror Cube,413,13
5/11/2025,4x4 Master,255,15
5/12/2025,3x3 Classic,465,11
5/13/2025,Fisher Cube,384,15
5/14/2025,Windmill Cube,183,15
5/15/2025,2x2 Mini Cube,107,6
5/16/2025,Fisher Cube,66,12
5/17/2025,Axis Cube,174,16
5/18/2025,Axis Cube,501,14
5/19/2025,2x2 Mini Cube,110,7
5/20/2025,Windmill Cube,414,15
5/21/2025,4x4 Master,311,16
5/22/2025,2x2 Mini Cube,339,9
5/23/2025,3x3 Classic,509,9
5/24/2025,3x3 Classic,99,12
5/25/2025,Fisher Cube,232,13
5/26/2025,Fisher Cube,261,13
5/27/2025,Megaminx,304,19
5/28/2025,Fisher Cube,378,12
5/29/2025,5x5 Professional,94,21
5/30/2025,Windmill Cube,217,15
